messageId,T1,T2,T2_5,T3,T4,RTT_Total
msg_1755335164249_uo0pxi0p5,1755335164249,1755335162720,1755335162800,1755335164598,1755335164819,570
msg_1755335166756_9bg12tkaj,1755335166756,1755335165218,1755335165295,1755335167093,1755335167311,555
msg_1755335169257_9o4tfrk1o,1755335169257,1755335167717,1755335167812,1755335169611,1755335169835,578
msg_1755335171761_28al6ytvq,1755335171761,1755335170224,1755335170373,1755335172171,1755335172391,630
msg_1755335174273_blii19c92,1755335174273,1755335172737,1755335172798,1755335174597,1755335174817,544
msg_1755335176774_f2614akv6,1755335176774,1755335175236,1755335175580,1755335177379,1755335177665,891
msg_1755335179278_o1zcfclhc,1755335179278,1755335177742,1755335177818,1755335179617,1755335179835,557
msg_1755335181790_e99gywmu4,1755335181790,1755335180254,1755335180415,1755335182213,1755335182435,645
msg_1755335184292_xcx01b3jz,1755335184292,1755335182757,1755335182826,1755335184624,1755335184878,586
msg_1755335186804_p6nh2sr7j,1755335186804,1755335185268,1755335185406,1755335187205,1755335187431,627
msg_1755335189307_egojfqj7y,1755335189307,1755335187767,1755335187870,1755335189668,1755335189888,581
msg_1755335191821_jr3v5wpwi,1755335191821,1755335190281,1755335190405,1755335192203,1755335192422,601
msg_1755335194331_a7iaux6ma,1755335194331,1755335192797,1755335192912,1755335194710,1755335194930,599
msg_1755335196844_5t4wcn7c7,1755335196844,1755335195309,1755335195394,1755335197192,1755335197416,572
msg_1755335199345_2ijbr1la4,1755335199345,1755335197809,1755335197880,1755335199679,1755335199902,557
msg_1755335201848_y07bsl0lw,1755335201848,1755335200307,1755335200385,1755335202183,1755335202403,555
msg_1755335204348_okpl9xc3b,1755335204348,1755335202811,1755335202900,1755335204699,1755335204922,574
msg_1755335206858_vdfmgb3jm,1755335206858,1755335205321,1755335205386,1755335207186,1755335207407,549
msg_1755335209365_vo4w66ncv,1755335209365,1755335207828,1755335207888,1755335209687,1755335209910,545
msg_1755335211872_9mrhwifen,1755335211872,1755335210334,1755335210463,1755335212261,1755335212480,608
msg_1755335214375_yr8nayzuz,1755335214375,1755335212839,1755335212979,1755335214777,1755335215000,625
msg_1755335216889_je8kasl2c,1755335216889,1755335215352,1755335215495,1755335217297,1755335217517,628
msg_1755335219391_klsk3o99g,1755335219391,1755335217857,1755335217923,1755335219721,1755335219942,551
msg_1755335221902_0ge0fqe3b,1755335221902,1755335220362,1755335220498,1755335222296,1755335222515,613
msg_1755335224411_rbqpicesb,1755335224411,1755335222876,1755335222979,1755335224777,1755335225001,590
msg_1755335226915_0spt7828p,1755335226915,1755335225378,1755335225496,1755335227295,1755335227515,600
msg_1755335229430_zud5r0ngo,1755335229430,1755335227894,1755335227960,1755335229758,1755335229981,551
msg_1755335231935_p8bfe2mnv,1755335231935,1755335230395,1755335230493,1755335232292,1755335232515,580
msg_1755335234441_ebijxi962,1755335234441,1755335232901,1755335232959,1755335234757,1755335234981,540
msg_1755335236945_pgnjirl72,1755335236945,1755335235407,1755335235800,1755335237598,1755335237817,872
msg_1755335239459_wc94cwa93,1755335239459,1755335237920,1755335238093,1755335239891,1755335240114,655
msg_1755335241965_uz9te1zau,1755335241965,1755335240425,1755335240586,1755335242385,1755335242606,641
